date,spx,dax,ftse,nikkei
2003-03-24,864.23,2548.37,3743.3,8435.07
2003-03-25,874.74,2636.1,3762.0,8238.76
2003-03-26,869.95,2579.33,3793.1,8351.92
2003-03-27,868.52,2584.05,3729.1,8368.67
2003-03-28,863.5,2520.84,3708.5,8280.16
2003-03-31,848.18,2423.87,3613.3,7972.71
2003-04-01,858.48,2450.19,3684.8,7986.72
2003-04-02,880.9,2589.35,3753.4,8069.85
2003-04-03,876.45,2569.81,3771.1,8017.75
2003-04-04,878.85,2654.07,3814.4,8074.12
2003-04-07,879.93,2808.94,3935.8,8249.98
2003-04-08,878.29,2767.79,3868.8,8131.41
2003-04-09,865.99,2734.1,3861.4,8057.61
2003-04-10,871.58,2697.1,3803.3,7980.12
2003-04-11,868.3,2733.95,3808.1,7816.49
2003-04-14,885.23,2776.78,3849.4,7752.1
2003-04-15,890.81,2834.12,3916.9,7838.83
2003-04-16,879.91,2824.68,3854.9,7879.49
2003-04-17,893.58,2899.78,3889.2,7821.9
2003-04-18,893.58,2899.78,3889.2,7874.51
2003-04-21,892.01,2899.78,3889.2,7969.08
2003-04-22,911.37,2960.96,3917.7,7790.46
2003-04-23,919.02,2974.4,3966.5,7793.38
2003-04-24,911.43,2891.62,3899.0,7854.57
2003-04-25,898.81,2838.23,3870.2,7699.5
2003-04-28,914.84,2953.92,3940.3,7607.88
2003-04-29,917.84,2908.96,3927.8,7607.88
2003-04-30,916.92,2942.04,3926.0,7831.42
2003-05-01,916.3,2942.04,3880.1,7863.29
2003-05-02,930.08,2986.0,3952.6,7907.19
2003-05-05,926.55,3013.04,3952.6,7907.19
2003-05-06,934.39,3066.95,4006.4,8083.56
2003-05-07,929.62,3005.64,3992.9,8109.77
2003-05-08,920.27,2886.08,3928.9,8031.55
2003-05-09,933.41,2956.59,3969.4,8152.16
2003-05-12,945.11,2937.26,3987.4,8221.12
2003-05-13,942.3,2909.95,3999.9,8190.26
2003-05-14,939.28,2926.03,3975.0,8244.91
2003-05-15,946.67,2989.38,4011.1,8123.4
2003-05-16,944.3,2989.08,4049.0,8117.29
2003-05-19,920.77,2850.68,3941.3,8039.13
2003-05-20,919.73,2838.93,3971.6,8059.48
2003-05-21,923.42,2827.25,3936.4,8018.51
2003-05-22,931.87,2865.21,3990.5,8051.66
2003-05-23,933.22,2822.83,3979.8,8184.76
2003-05-26,933.22,2828.28,3979.8,8227.32
2003-05-27,951.48,2873.6,3992.4,8120.24
2003-05-28,953.22,2919.54,4071.9,8234.18
2003-05-29,949.64,2906.71,4083.6,8375.36
2003-05-30,963.59,2982.68,4048.1,8424.51
2003-06-02,967.0,3064.56,4129.3,8547.17
2003-06-03,971.56,3026.82,4115.7,8564.49
2003-06-04,986.24,3080.02,4126.6,8557.86
2003-06-05,990.14,3039.76,4104.3,8657.23
2003-06-06,987.76,3127.46,4150.8,8785.87
2003-06-09,975.93,3094.76,4129.1,8822.73
2003-06-10,984.84,3140.34,4113.0,8789.09
2003-06-11,997.48,3178.15,4150.2,8890.3
2003-06-12,998.51,3219.47,4161.3,8918.6
2003-06-13,988.61,3168.71,4134.1,8980.64
2003-06-16,1010.74,3264.5,4152.9,8839.83
2003-06-17,1011.66,3286.48,4190.4,9033.0
2003-06-18,1010.09,3304.15,4207.0,9092.97
2003-06-19,994.7,3247.11,4131.5,9110.51
2003-06-20,995.69,3238.98,4160.1,9120.39
2003-06-23,981.64,3186.39,4087.9,9137.14
2003-06-24,983.45,3217.34,4060.9,8919.26
2003-06-25,975.32,3198.82,4067.9,8932.26
2003-06-26,985.82,3241.22,4041.7,8923.41
2003-06-27,976.22,3224.66,4067.8,9104.06
2003-06-30,974.5,3220.58,4031.2,9083.11
2003-07-01,982.32,3146.55,3963.9,9278.49
2003-07-02,993.75,3241.04,4006.9,9592.24
2003-07-03,985.7,3241.92,4024.8,9624.8
2003-07-04,985.7,3239.61,4021.5,9547.73
2003-07-07,1004.42,3332.87,4074.8,9795.16
2003-07-08,1007.84,3344.46,4073.6,9898.72
2003-07-09,1002.21,3322.43,4054.7,9990.95
